Date,Open,High,Low,Close,Volume,Adj Close
2015-05-22,18.60,18.77,18.45,18.68,28444900,18.68
2015-05-21,19.28,19.37,18.53,18.65,32953900,18.65
2015-05-20,19.10,19.44,18.99,19.18,37180000,19.18
2015-05-19,19.30,19.56,18.98,19.14,35707200,19.14
2015-05-18,20.05,20.10,19.24,19.42,36336600,19.42
2015-05-15,20.17,20.48,20.05,20.06,31025700,20.06
2015-05-14,20.43,20.54,20.24,20.26,27135400,20.26
2015-05-13,20.85,21.08,20.63,20.67,34173300,20.67
2015-05-12,21.47,21.75,20.90,21.05,38633400,21.05
2015-05-11,20.62,21.15,20.57,21.12,29071700,21.12
2015-05-08,20.85,21.00,20.50,20.61,42789300,20.61
2015-05-07,21.96,22.27,21.50,21.70,36000000,21.70
2015-05-06,21.25,22.58,21.15,21.86,49752700,21.86
2015-05-05,20.91,21.53,20.77,21.47,45376400,21.47
2015-05-04,20.63,21.06,20.48,20.82,28745400,20.82
2015-05-01,21.54,21.57,20.77,20.81,39174300,20.81
2015-04-30,21.55,22.29,21.30,21.84,47120700,21.84
2015-04-29,21.23,21.62,20.84,21.24,48824700,21.24
2015-04-28,21.63,22.22,20.73,20.77,41961500,20.77
2015-04-27,20.69,21.64,20.62,21.45,38931600,21.45
2015-04-24,20.96,21.14,20.81,20.89,21226500,20.89
2015-04-23,21.41,21.52,20.90,21.10,26599100,21.10
2015-04-22,21.42,21.84,21.19,21.30,27597500,21.30
2015-04-21,21.27,21.78,21.19,21.53,27560300,21.53
2015-04-20,21.82,21.95,21.38,21.54,30696700,21.54
2015-04-17,22.22,22.86,22.11,22.29,67046400,22.29
2015-04-16,22.06,22.15,21.31,21.52,42888300,21.52
2015-04-15,22.14,22.20,21.73,21.98,35946200,21.98
2015-04-14,22.94,23.12,22.25,22.47,36952900,22.47
2015-04-13,21.82,22.90,21.61,22.66,52058600,22.66
2015-04-10,22.94,22.99,22.10,22.13,49145300,22.13
2015-04-09,23.87,24.14,23.12,23.14,36233100,23.14
2015-04-08,24.30,24.46,23.92,23.97,36733500,23.97
2015-04-07,24.35,24.47,24.07,24.45,29010700,24.45
2015-04-06,25.31,25.41,24.30,24.53,33291500,24.53
2015-04-02,25.38,25.52,24.97,25.06,33340500,25.06
2015-04-01,25.61,26.38,25.52,25.52,43230600,25.52
2015-03-31,25.06,26.98,24.50,25.63,21389800,25.63
2015-03-30,25.11,25.19,24.82,24.96,28700500,24.96
2015-03-27,26.03,26.12,25.62,25.74,30207600,25.74
2015-03-26,26.77,27.04,25.87,26.05,57864800,26.05
2015-03-25,25.03,26.30,24.88,26.27,53903600,26.27
2015-03-24,25.28,25.44,24.66,25.15,37679100,25.15
2015-03-23,25.52,25.56,24.96,25.24,32181900,25.24
2015-03-20,25.81,25.99,24.94,25.73,59607100,25.73
2015-03-19,26.50,26.81,26.04,26.13,37961000,26.13
2015-03-18,27.47,27.68,25.88,26.13,59280100,26.13
2015-03-17,27.82,28.02,27.20,27.30,34852700,27.30
2015-03-16,27.74,27.82,27.15,27.41,34533500,27.41
2015-03-13,27.58,28.83,27.44,28.10,55529600,28.10
2015-03-12,28.69,28.74,27.40,27.48,44704100,27.48
2015-03-11,28.59,29.44,28.51,29.23,40551000,29.23
2015-03-10,28.43,28.91,28.24,28.51,47857600,28.51
2015-03-09,27.86,28.07,27.39,27.66,43262800,27.66
2015-03-06,27.26,28.20,26.87,28.03,61346700,28.03
2015-03-05,27.00,27.43,26.82,26.88,31308900,26.88
2015-03-04,27.66,28.26,27.14,27.22,37953300,27.22
